t,x,y,z
0.050, -10341.230, -2469.060, 715.385
0.050, -10340.864, -2473.001, 716.466
0.050, -10340.229, -2476.570, 717.737
0.050, -10339.262, -2479.755, 719.191
0.050, -10337.900, -2482.579, 720.829
0.050, -10336.086, -2485.098, 722.662
0.050, -10333.765, -2487.402, 724.706
0.050, -10330.887, -2489.603, 726.982
0.050, -10327.416, -2491.833, 729.510
0.050, -10323.323, -2494.234, 732.312
0.050, -10318.595, -2496.945, 735.404
0.050, -10313.205, -2500.118, 738.824
0.050, -10307.233, -2503.828, 742.545
0.050, -10300.677, -2508.163, 746.587
0.050, -10293.581, -2513.142, 750.937
0.050, -10286.033, -2518.677, 755.626
0.050, -10278.284, -2524.316, 760.820
0.050, -10270.672, -2529.410, 766.521
0.050, -10263.565, -2533.275, 772.541
0.050, -10257.150, -2535.476, 778.767
0.050, -10251.629, -2535.909, 785.175
0.050, -10247.124, -2534.693, 791.741
0.050, -10243.638, -2532.113, 798.481
0.050, -10241.093, -2528.616, 805.397
0.050, -10239.309, -2524.722, 812.567
0.050, -10238.045, -2520.954, 820.077
0.050, -10237.020, -2517.762, 827.994
0.050, -10235.993, -2515.502, 836.334
0.050, -10234.788, -2514.417, 845.054
0.050, -10233.306, -2514.608, 854.076
0.050, -10231.530, -2516.028, 863.303
0.050, -10229.514, -2518.496, 872.620
0.050, -10227.378, -2521.714, 881.899
0.050, -10225.277, -2525.306, 891.001
0.050, -10223.345, -2528.797, 899.798
0.050, -10221.655, -2531.670, 908.205
0.050, -10220.268, -2533.466, 916.110
0.050, -10219.217, -2533.825, 923.408
0.050, -10218.502, -2532.506, 930.021
0.050, -10218.094, -2529.387, 935.908
0.050, -10217.936, -2524.468, 941.065
0.050, -10217.945, -2517.849, 945.527
0.050, -10218.021, -2509.703, 949.355
0.050, -10218.057, -2500.248, 952.619
0.050, -10217.953, -2489.714, 955.385
0.050, -10217.628, -2478.320, 957.706
0.050, -10217.032, -2466.252, 959.620
0.050, -10216.148, -2453.650, 961.151
0.050, -10215.043, -2440.721, 962.380
0.050, -10214.091, -2428.146, 963.594
0.050, -10213.759, -2416.715, 964.937
0.050, -10214.451, -2407.111, 966.381
0.050, -10216.387, -2399.888, 967.849
0.050, -10219.596, -2395.406, 969.243
0.050, -10223.976, -2393.733, 970.457
0.050, -10229.364, -2394.598, 971.468
0.050, -10235.528, -2397.501, 972.295
0.050, -10242.170, -2401.847, 972.939
0.050, -10248.963, -2407.012, 973.376
0.050, -10255.639, -2412.454, 973.547
0.050, -10261.856, -2417.633, 973.361
0.050, -10267.502, -2422.247, 972.716
0.050, -10272.521, -2426.123, 971.380
0.050, -10276.924, -2429.262, 969.024
0.050, -10280.784, -2431.748, 965.356
0.050, -10284.210, -2433.705, 960.138
0.050, -10287.332, -2435.247, 953.204
0.050, -10290.286, -2436.452, 944.472
0.050, -10293.214, -2437.336, 933.950
0.050, -10296.267, -2437.858, 921.738
0.050, -10299.610, -2437.928, 908.017
0.050, -10303.420, -2437.422, 893.043
0.050, -10307.876, -2436.218, 877.128
0.050, -10313.145, -2434.210, 860.609
0.050, -10319.356, -2431.333, 843.815
0.050, -10326.574, -2427.574, 827.033
0.050, -10334.787, -2422.971, 810.477
0.050, -10343.893, -2417.611, 794.258
0.050, -10353.702, -2411.616, 778.384
0.050, -10363.953, -2405.125, 762.758
0.050, -10374.331, -2398.281, 747.232
0.050, -10384.411, -2391.385, 731.771
0.050, -10393.635, -2385.000, 716.582
0.050, -10401.420, -2379.769, 702.056
0.050, -10407.275, -2376.244, 688.652
0.050, -10410.872, -2374.795, 676.791
0.050, -10412.082, -2375.609, 666.780
0.050, -10410.953, -2378.739, 658.767
0.050, -10407.690, -2384.131, 652.729
0.050, -10402.619, -2391.620, 648.480
0.050, -10396.160, -2400.906, 645.700
